Stage,Size (KB),Sparsity,Accuracy,F1,Latency (ms)
Baseline,61.2109375,0.0,0.9621212121212122,0.9618952917964776,-
Stage 1 (Structured),61.2109375,0.0,0.9696969696969697,0.9695829072113656,-
Stage 2 (Unstructured),61.2109375,0.5208337748110475,0.5454545454545454,0.48246597311570466,-
Stage 3 (QAT+TFLite),61.2109375,0.020357420357420348,0.9848484848484849,0.9848221343873518,0.2983
